SOURCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RESPOSTAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HIT AND MISS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RESULT;;;
Source;Response;data_class_smell;large_class_smell;lazy_class_smell;open_close_principle_violation;speculative_generality_smell;alternative_classes_with_different_interfaces_smell;interface_segregation_principle_violation;middle_man_smell;long_method_smell;long_parameter_list_smell;switch_statements_smell;comments_smell;data_clumps_smell;dead_code_smell;divergent_change_smell;primitive_obsession_smell;temporary_fields_smell;single_responsability_principle_violation;parallel_inheritance_hierarchies_smell;refused_bequest_smell;dependency_inversion_principle_violation;liskov_substitution_principle_violation;duplicate_code_smell;feature_envy_smell;inappropriate_intimacy_smell;message_chains_smell;shotgun_surgery_smell;demeter_law_violation;tell_dont_ask_principle_violation;LLM;data_class_smell;large_class_smell;lazy_class_smell;open_close_principle_violation;speculative_generality_smell;alternative_classes_with_different_interfaces_smell;interface_segregation_principle_violation;middle_man_smell;long_method_smell;long_parameter_list_smell;switch_statements_smell;comments_smell;data_clumps_smell;dead_code_smell;divergent_change_smell;primitive_obsession_smell;temporary_fields_smell;single_responsability_principle_violation;parallel_inheritance_hierarchies_smell;refused_bequest_smell;dependency_inversion_principle_violation;liskov_substitution_principle_violation;duplicate_code_smell;feature_envy_smell;inappropriate_intimacy_smell;message_chains_smell;shotgun_surgery_smell;demeter_law_violation;tell_dont_ask_principle_violation;data_class_smell;large_class_smell;lazy_class_smell;open_close_principle_violation;speculative_generality_smell;alternative_classes_with_different_interfaces_smell;interface_segregation_principle_violation;middle_man_smell;long_method_smell;long_parameter_list_smell;switch_statements_smell;comments_smell;data_clumps_smell;dead_code_smell;divergent_change_smell;primitive_obsession_smell;temporary_fields_smell;single_responsability_principle_violation;parallel_inheritance_hierarchies_smell;refused_bequest_smell;dependency_inversion_principle_violation;liskov_substitution_principle_violation;duplicate_code_smell;feature_envy_smell;inappropriate_intimacy_smell;message_chains_smell;shotgun_surgery_smell;demeter_law_violation;tell_dont_ask_principle_violation;TP;TN;FP;FN
14;65;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;1;FP;TP;TN;FP;TN;TN;TN;TN;TP;TN;TN;FP;TN;FN;FP;FP;TN;TP;TN;TN;FP;TN;FP;TN;TN;TN;FP;FP;FP;3;15;10;1
14;66;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;TN;FN;TN;TN;TN;TN;TN;TN;FN;TN;TN;FP;FP;FN;FP;TN;TN;TP;TN;TN;TN;TN;FP;TN;TN;TN;FP;TN;FP;1;19;6;3
14;67;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;TN;TP;TN;FP;TN;TN;TN;TN;TP;TN;TN;TN;TN;FN;FP;TN;TN;TP;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;3;22;3;1
14;68;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;TN;FN;TN;FP;TN;TN;TN;TN;TP;TN;TN;TN;TN;FN;TN;FP;TN;TP;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;FP;2;21;4;2
15;69;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;1;FP;TN;TN;FP;TN;TN;TN;TN;TP;TN;TN;FP;TN;TP;TN;FP;FP;FP;TN;TN;FP;TN;TN;TN;TN;FP;TN;FP;FP;2;17;10;0
15;70;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;FP;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;FN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;FP;1;23;4;1
15;71;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;1;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;1;1;FP;FP;TN;FP;TN;TN;TN;FP;TP;TN;TN;FP;FP;FN;FP;TN;TN;FP;TN;TN;FP;TN;TN;FP;TN;FP;TN;FP;FP;1;14;13;1
15;72;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;FP;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;FP;TN;FN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;1;24;3;1
16;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;FN;TN;TN;TP;TN;TN;FP;TN;FP;TN;TN;TN;TN;FP;FP;1;21;6;1
16;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;TN;FP;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;FP;2;23;4;0
16;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;TN;FP;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;2;24;3;0
16;493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;FN;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;1;26;1;1
17;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;FP;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TP;TN;TN;FP;TN;TN;FP;FP;TN;TN;FP;FP;2;20;7;0
17;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;2;26;1;0
17;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;TN;FP;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TP;TN;TN;FP;TN;TN;TN;FP;TN;FP;TN;TN;2;22;5;0
17;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;1;26;1;1
18;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;1;1;FP;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;FN;TN;TN;TP;TN;TN;FP;TN;TN;FP;FP;TN;TN;FP;FP;1;19;8;1
18;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TP;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;FP;2;24;3;0
18;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;gpt-4.1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;TN;FP;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;2;24;3;0
18;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;FN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;0;26;1;2
19;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;claude 3.7 sonnet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
19;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
19;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
19;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
20;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;claude 3.7 sonnet;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;26;2;0
20;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
20;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
20;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
21;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;claude 3.7 sonnet;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;FP;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;25;3;0
21;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
21;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;28;0;0
21;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;TN;TN;TN;1;27;1;0
22;97;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;claude 3.7 sonnet;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;TN;TN;TN;FP;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;FP;TN;TN;TP;FP;FP;TN;FP;FP;1;20;6;2
22;98;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;FN;TN;TN;TN;FP;FP;0;24;2;3
22;99;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;FN;TN;FP;TN;FP;FP;0;23;3;3
22;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;FN;TN;TN;TN;FP;FP;0;24;2;3
23;101;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;claude 3.7 sonnet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;FP;FP;TN;FP;FP;1;23;4;1
23;102;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;FP;FP;0;25;2;2
23;103;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;FP;FP;TN;FP;FP;0;23;4;2
23;104;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;FP;TN;TN;FP;FP;1;24;3;1
24;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;claude 3.7 sonnet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;FP;TN;FP;FP;0;25;3;1
24;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;FP;TN;FP;FP;0;25;3;1
24;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;TN;TN;TN;FP;FP;1;26;2;0
24;494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;TN;FP;0;27;1;1
25;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;claude 3.7 sonnet;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;FP;TN;FP;FP;0;24;4;1
25;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;gemini 2.0 flash;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;FP;TN;FP;FP;0;24;4;1
25;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;gpt-4.1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;FP;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;FN;FP;TN;FP;FP;0;22;6;1
25;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;FN;TN;TN;FP;FP;0;25;3;1
26;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;claude 3.7 sonnet;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;FP;TN;FP;FP;0;24;4;1
26;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;gemini 2.0 flash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;FN;TN;TN;FP;FP;0;25;3;1
26;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;FP;FP;0;26;2;1
26;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;FP;FP;0;26;2;1
27;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;claude 3.7 sonnet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;FP;TN;FP;FP;1;25;3;0
27;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;gemini 2.0 flash;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;TN;FP;0;25;3;1
27;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;gpt-4.1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TP;FP;TN;FP;FP;1;24;4;0
27;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;deepseek v3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;TN;FN;TN;TN;FP;FP;0;26;2;1
28;121;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;claude 3.7 sonnet;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;TP;TP;TN;TN;TN;TN;TN;TN;TN;FP;TN;TN;FP;TN;FP;FP;TN;FP;TN;TN;TN;TN;FP;TN;TN;TN;TN;TN;TN;2;21;6;0
